Title,Date,Text,Text_diff_new,Text_diff_old
10_Artikel8,01-07-2021,"['Artikel 8', 'Toon relaties in LiDO', 'voor: Artikel 8', 'Maak een permanente link', 'van: Artikel 8', 'Toon wetstechnische informatie', 'van: Artikel 8', 'Vergelijk met een andere versie', 'van: Artikel 8', 'Druk het regelingonderdeel af', 'Artikel 8', 'Sla het regelingonderdeel op', 'Artikel 8', 'Ruiters gebruiken het ruiterpad.', 'Zij gebruiken de berm of de rijbaan indien een ruiterpad ontbreekt.']",,
11_Artikel9,01-07-2021,"['Artikel 9', 'Toon relaties in LiDO', 'voor: Artikel 9', 'Maak een permanente link', 'van: Artikel 9', 'Toon wetstechnische informatie', 'van: Artikel 9', 'Vergelijk met een andere versie', 'van: Artikel 9', 'Druk het regelingonderdeel af', 'Artikel 9', 'Sla het regelingonderdeel op', 'Artikel 9', 'Voetgangers mogen de rijbaan gebruiken, indien zij een kolonne, een optocht of een uitvaartstoet vormen.']",,
12_Artikel10,01-07-2021,"['Artikel 10', 'Toon relaties in LiDO', 'voor: Artikel 10', 'Maak een permanente link', 'van: Artikel 10', 'Toon wetstechnische informatie', 'van: Artikel 10', 'Vergelijk met een andere versie', 'van: Artikel 10', 'Druk het regelingonderdeel af', 'Artikel 10', 'Sla het regelingonderdeel op', 'Artikel 10', 'Andere bestuurders dan die genoemd in de', 'artikelen 5 tot en met 8', 'gebruiken de rijbaan. Deze bestuurders en voetgangers die een aanhangwagen voortbewegen die kennelijk bestemd is om door een motorvoertuig te worden voortbewogen, mogen voor het parkeren van hun voertuig tevens andere weggedeelten gebruiken, behalve het trottoir, het voetpad, het fietspad, het fiets/bromfietspad of het ruiterpad.', 'Andere bestuurders dan fietsers en bestuurders van een gehandicaptenvoertuig mogen fietsstroken met doorgetrokken strepen niet gebruiken.']",,
13_Artikel11,01-07-2021,"['Artikel 11', 'Toon relaties in LiDO', 'voor: Artikel 11', 'Maak een permanente link', 'van: Artikel 11', 'Toon wetstechnische informatie', 'van: Artikel 11', 'Vergelijk met een andere versie', 'van: Artikel 11', 'Druk het regelingonderdeel af', 'Artikel 11', 'Sla het regelingonderdeel op', 'Artikel 11', 'Inhalen geschiedt links.', 'Bestuurders die links voorgesorteerd hebben en te kennen hebben gegeven dat zij naar links willen afslaan, worden rechts ingehaald.', 'Fietsers dienen elkaar links in te halen; zij mogen andere bestuurders rechts inhalen.', 'Bestuurders die zich rechts van een blokmarkering bevinden mogen bestuurders die zich links van deze markering bevinden rechts inhalen.', 'Bestuurders mogen trams rechts inhalen.']",,
14_Artikel12,01-07-2021,"['Artikel 12', 'Toon relaties in LiDO', 'voor: Artikel 12', 'Maak een permanente link', 'van: Artikel 12', 'Toon wetstechnische informatie', 'van: Artikel 12', 'Vergelijk met een andere versie', 'van: Artikel 12', 'Druk het regelingonderdeel af', 'Artikel 12', 'Sla het regelingonderdeel op', 'Artikel 12', 'Het is verboden een voertuig vlak voor of op een voetgangersoversteekplaats in te halen.']",,
15_Artikel13,01-07-2021,"['Artikel 13', 'Toon relaties in LiDO', 'voor: Artikel 13', 'Maak een permanente link', 'van: Artikel 13', 'Toon wetstechnische informatie', 'van: Artikel 13', 'Vergelijk met een andere versie', 'van: Artikel 13', 'Druk het regelingonderdeel af', 'Artikel 13', 'Sla het regelingonderdeel op', 'Artikel 13', 'Bij fileverkeer behoeft, indien de rijbaan is verdeeld in rijstroken in dezelfde richting, niet de meest rechts gelegen rijstrook te worden gevolgd.', 'Files mogen aan de rechterzijde worden ingehaald.']",,
16_Artikel14,01-07-2021,"['Artikel 14', 'Toon relaties in LiDO', 'voor: Artikel 14', 'Maak een permanente link', 'van: Artikel 14', 'Toon wetstechnische informatie', 'van: Artikel 14', 'Vergelijk met een andere versie', 'van: Artikel 14', 'Druk het regelingonderdeel af', 'Artikel 14', 'Sla het regelingonderdeel op', 'Artikel 14', 'Bestuurders mogen een kruispunt niet blokkeren.']",,
17_Artikel15,01-07-2021,"['Artikel 15', 'Toon relaties in LiDO', 'voor: Artikel 15', 'Maak een permanente link', 'van: Artikel 15', 'Toon wetstechnische informatie', 'van: Artikel 15', 'Vergelijk met een andere versie', 'van: Artikel 15', 'Druk het regelingonderdeel af', 'Artikel 15', 'Sla het regelingonderdeel op', 'Artikel 15', 'Op kruispunten verlenen bestuurders voorrang aan voor hen van rechts komende bestuurders.', 'Op deze regel gelden de volgende uitzonderingen:', 'a.', 'bestuurders op een onverharde weg verlenen voorrang aan bestuurders op een verharde weg;', 'b.', 'bestuurders verlenen voorrang aan bestuurders van een tram.']",,
18_Artikel15a,01-07-2021,"['Artikel 15a', 'Toon relaties in LiDO', 'voor: Artikel 15a', 'Maak een permanente link', 'van: Artikel 15a', 'Toon wetstechnische informatie', 'van: Artikel 15a', 'Vergelijk met een andere versie', 'van: Artikel 15a', 'Druk het regelingonderdeel af', 'Artikel 15a', 'Sla het regelingonderdeel op', 'Artikel 15a', 'Weggebruikers mogen een overweg opgaan, indien zij direct kunnen doorgaan en de overweg geheel kunnen vrijmaken.', 'Bij overwegen laten weggebruikers een spoorvoertuig voorgaan en laten daarbij de overweg geheel vrij.']",,
19_Artikel16,01-07-2021,"['Artikel 16', 'Toon relaties in LiDO', 'voor: Artikel 16', 'Maak een permanente link', 'van: Artikel 16', 'Toon wetstechnische informatie', 'van: Artikel 16', 'Vergelijk met een andere versie', 'van: Artikel 16', 'Druk het regelingonderdeel af', 'Artikel 16', 'Sla het regelingonderdeel op', 'Artikel 16', 'Weggebruikers mogen militaire kolonnes en uitvaartstoeten van motorvoertuigen niet doorsnijden.']",,
